Country Code,Latitude,Longitude
ZW,-19.0154,29.1549
ZA,-30.5595,22.9375
YE,15.5527,48.5164
VN,14.0583,108.2772
VE,6.4238,-66.5897
UY,-32.5228,-55.7658
US,37.0902,-95.7129
UG,1.3733,32.2903
UA,48.3794,31.1656
TZ,-6.3690,34.8888
TW,23.6978,120.9605
TR,38.9637,35.2433
TN,33.8869,9.5375
TH,15.8700,100.9925
SV,13.7942,-88.8965
SN,14.4974,-14.4524
SK,48.6690,19.6990
SI,46.1512,14.9955
SG,1.3521,103.8198
SE,60.1282,18.6435
SA,23.8859,45.0792
RU,61.5240,105.3188
RS,44.0165,21.0059
RO,45.9432,24.9668
QA,25.3548,51.1839
PY,-23.4425,-58.4438
PT,39.3999,-8.2245
PR,18.2208,-66.5901
PL,51.9194,19.1451
PK,30.3753,69.3451
PH,12.8797,121.7740
PG,-6.3150,143.9555
PE,-9.1900,-75.0152
PA,8.5380,-80.7821
OM,21.5126,55.9233
NZ,-40.9006,174.8860
NP,28.3949,84.1240
NO,60.4720,8.4689
NL,52.1326,5.2913
NI,12.8654,-85.2072
NG,9.0820,8.6753
MY,4.2105,101.9758
MX,23.6345,-102.5528
MT,35.9375,14.3754
MN,46.8625,103.8467
MK,41.6086,21.7453
ME,42.7087,19.3744
MD,47.4116,28.3699
MA,31.7917,-7.0926
LY,26.3351,17.2283
LV,56.8796,24.6032
LU,49.8153,6.1296
LT,55.1694,23.8813
LK,7.8731,80.7718
LI,47.1660,9.5554
LB,33.8547,35.8623
LA,19.8563,102.4955
KZ,48.0196,66.9237
KW,29.3117,47.4818
KR,35.9078,127.7669
KH,12.5657,104.9910
KE,-0.0236,37.9062
JP,36.2048,138.2529
JO,30.5852,36.2384
JM,18.1096,-77.2975
IT,41.8719,12.5674
IS,64.9631,-19.0208
IQ,33.2232,43.6793
IN,20.5937,78.9629
IL,31.0461,34.8516
IE,53.1424,-7.6921
ID,-0.7893,113.9213
HU,47.1625,19.5033
HR,45.1000,15.2000
HN,15.2000,-86.2419
HK,22.3193,114.1694
GT,15.7835,-90.2308
GR,39.0742,21.8243
GH,7.9465,-1.0232
GE,42.3154,43.3569
GB,55.3781,-3.4360
FR,46.2276,2.2137
FI,61.9241,25.7482
ES,40.4637,-3.7492
EG,26.8206,30.8025
EE,58.5953,25.0136
EC,-1.8312,-78.1834
DZ,28.0339,1.6596
DO,18.7357,-70.1627
DK,56.2639,9.5018
DE,51.1657,10.4515
CZ,49.8175,15.4730
CY,35.1264,33.4299
CR,9.7489,-83.7534
CO,4.5709,-74.2973
CL,-35.6751,-71.5430
CH,46.8182,8.2275
CA,56.1304,-106.3468
BY,53.7098,27.9534
BR,-14.2350,-51.9253
BO,-16.2902,-63.5887
BH,26.0667,50.5577
BG,42.7339,25.4858
BE,50.5039,4.4699
BD,23.6850,90.3563
BA,43.9159,17.6791
AZ,40.1431,47.5769
AU,-25.2744,133.7751
AT,47.5162,14.5501
AR,-38.4161,-63.6167
AM,40.0691,45.0382
AL,41.1533,20.1683
AE,23.4241,53.8478
